POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,URL_ID
0.122,0.015,0.7810161969620659,0.0030181086519114686,28.37142857142857,18.52970795568983,18.760454610847358,28.37142857142857,184,993,1.609264853977845,3,5.333333333333333,bctech2028
0.13,0.019,0.7449614432117906,0.036748329621380846,32.035714285714285,20.178372352285397,20.885634655199876,32.035714285714285,181,897,1.6231884057971016,18,5.318840579710145,bctech2029
0.118,0.019,0.722622462609762,0.00851063829787234,26.82857142857143,19.275825346112885,18.441758709873728,26.82857142857143,181,939,1.5910543130990416,7,5.268370607028754,bctech2030
0.104,0.011,0.8086886200989557,0.015473887814313346,23.86046511627907,18.81091617933723,17.06855251824652,23.86046511627907,193,1026,1.5682261208576997,12,5.3996101364522415,bctech2031
0.085,0.01,0.7894653740486943,0.011090573012939002,41.53846153846154,18.88888888888889,24.170940170940174,41.53846153846154,102,540,1.538888888888889,6,5.088888888888889,bctech2032
0.119,0.03,0.5973114274400843,0.005517241379310344,26.814814814814813,22.790055248618785,19.84194802537344,26.814814814814813,165,724,1.6892265193370166,4,5.584254143646409,bctech2033
0.124,0.008,0.8787812213543835,0.004658385093167702,33.8421052631579,20.06220839813375,21.56172546451666,33.8421052631579,129,643,1.6267496111975117,3,5.3732503888024885,bctech2034
0.128,0.023,0.6953596333799115,0.010752688172043012,26.321428571428573,21.166892808683855,18.99532855204497,26.321428571428573,156,737,1.66078697421981,7,5.295793758480325,bctech2035
0.118,0.029,0.6054380582445017,0.003015075376884422,23.11627906976744,19.919517102615693,17.214318468953252,23.11627906976744,198,994,1.5724346076458753,3,5.048289738430584,bctech2036
0.097,0.028,0.5519955840353278,0.010067114093959731,39.7,14.945424013434089,21.85816960537364,39.7,178,1191,1.4550797649034426,8,4.758186397984887,bctech2037
